1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"[-119, 74, 0]","[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]"
"[-120, 75, 44]","[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]"
"[-120, 75, 0]","[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]"
"[-120, 76, 33]","[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]"
"[-120, 76, 0]","[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]"
"[-120, 76, 0]","[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]"
"[-120, 76, 0]","[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]"
"[-122, 76, 44]","[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]"
"[-122, 76, 0]","[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]"
"[-122, 76, 0]","[-122, 77, 32]","[-122, 77, 0]","[-120, 78, 35]","[-120, 78, 0]","[-122, 79, 74]","[-122, 79, 0]","[-121, 78, 17]","[-121, 78, 0]","[-121, 78, 0]","[-121, 78, 0]","[-120, 78, 21]","[-120, 78, 0]","[-120, 78, 0]","[-121, 77, 46]","[-121, 77, 0]","[-121, 78, 12]","[-121, 78, 0]","[-121, 78, 0]","[-123, 79, 74]"
